property_id,image,address_suburb,address_street,bedrooms,bathrooms,garage,price,date_created
CSS9541041,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1457583553-23841-1.jpg,"BENTLEY PARK","15 Herald Street",3,1,2,"$349,000 Negotiable",2016-05-25-07:39
CSS9586447,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1460591743-7749-1.jpg,EDMONTON,"40-42 Plantation Road",4,1,2,"High $700's Range",2016-05-25-07:40
CSS9608009,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/8014-10.jpg,"MOUNT SHERIDAN","19 Idalia Road",3,2,2,"Buyers in $360's Range",2016-05-19-11:11
CSS9609130,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/14594-02.jpg,"MOUNT SHERIDAN","28 Marsden Street",3,2,2,"Buyers in the Low $300's Range",2016-05-23-13:26
CSS9622777,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/8781-02.jpg,EARLVILLE,"49 Yarrum Street",3,1,2,"Mid $300's Range",2016-05-20-07:36
CSS9662564,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/25807-1.jpg,"BAYVIEW HEIGHTS","44 Wirrah Close",4,3,2,"Buyers up to Mid $400's Range Should Inspect!",2016-05-25-07:43
CSS9681733,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1300-Photo-8.jpg,"BENTLEY PARK","65 Resolution Drive",4,2,4,"$379,000 Negotiable",2016-05-25-07:43
CSS9683685,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/24142-1.jpg,EDMONTON,"21-23 Cultivation Close",6,4,10,"High $900,000's Range",2016-05-04-12:46
CSS9714714,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/10185-1a.jpg,"BAYVIEW HEIGHTS","13 Pheasant Street",4,2,2,"High $500's Range",2016-05-25-07:40
CSS9720550,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/25900-1.jpg,EDMONTON,"23 Pyne Street",3,1,0,"Low $300's Range",2016-05-22-01:11
CSS9732331,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/9389-023Open2viewID411871-4PyramidCloseGordonvale.jpg,GORDONVALE,"4 Pyramid Close",5,3,3,"$899,000",2016-05-21-09:00
CSS9540141,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1446618264-13242-003_Open2view_ID383242-432_Russell_Road__Gordonvale.jpg,GORDONVALE,"432 Russell  Road",4,4,6,"Price Upon Application",2016-05-17-09:58
CSS9540934,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1447136267-13645-1.jpg,EDMONTON,"3-5 Melchiori Close",4,4,4,$2.45m,2016-04-05-10:48
CSS9540973,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1452146238-4050-1.JPG,BARRINE,"7 Andrews Road",3,2,3,"$649,000 Negotiable",2016-04-05-09:10
CSS7973007,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1427859323-14102-property_map.jpg,CAIRNS,"123 Bob Road",4,2,2,"Offers are invited",2016-04-26-09:12
1676138,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/107440107-image-M.jpg,WOREE,"232/1 Anderson Road",1,1,1,"$65,000 Negotiable - Make Your Offer TODAY!!!!",2016-04-05-14:25
