property_id,image,address_suburb,address_street,bedrooms,bathrooms,garage,price,date_created
CSS6194390,http://s3-ap-southeast-2.amazonaws.com/mydesktop.aunz/rwcairso/photos/22828-DSCN2826.JPG,EDMONTON,"20 Jordan Street",3,1,1,"$247,000",2016-11-29-13:22
CSS6225754,http://s3-ap-southeast-2.amazonaws.com/mydesktop.aunz/rwcairso/photos/10549-19Swan_0015.jpg,GORDONVALE,"19 Swan Street",4,1,2,"$417,000 Neg",2016-11-29-13:22
CSS6234774,http://s3-ap-southeast-2.amazonaws.com/mydesktop.aunz/rwcairso/photos/7978-2NewbyCl_0015.jpg,EDMONTON,"2 Newby Close",4,2,2,"$340,000 Neg",2016-11-29-13:22
CSS6248416,http://s3-ap-southeast-2.amazonaws.com/mydesktop.aunz/rwcairso/photos/13721-16Anson_0025.jpg,"BENTLEY PARK","16 Anson Street",4,2,2,"Mid $400,000's",2016-11-29-13:22
CSS6367739,http://s3-ap-southeast-2.amazonaws.com/mydesktop.aunz/rwcairso/photos/32114-52HeritageGardens_0019.jpg,EARLVILLE,"52/11-21 Barr Street",2,1,1,"$240,000",2016-11-29-13:22
CSS6512083,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1398662863-4958-10WiernetClose-12.jpg,EDMONTON,"10 Wienert Street",4,2,2,"High $300,000's",2016-11-29-13:22
CSS6526154,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1398989161-27844-8Hyancinthclose-4.jpg,EDMONTON,"8 Hyacinth Close",3,2,2,"$313,000 Neg",2016-11-29-13:22
CSS6550339,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1399420595-27801-52HeritageGardens_0004.jpg,EARLVILLE,"34/11-21 Barr Street",1,1,0,"$170,000",2016-11-29-13:22
CSS6550603,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1399421585-17044-DSCN2869.JPG,GORDONVALE,"123 Norman Street",8,4,4,"Buyers In The $600,000's",2016-11-29-13:22
CSS6652512,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1402004357-28993-73Swanst-8.jpg,GORDONVALE,"73 Swan Street",3,2,2,"$417,000 Neg",2016-11-29-13:22
CSS6653762,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1402019618-6215-Unit2Exterior.jpg,GORDONVALE,"1 Elliott Court",6,2,2,"Offers in the $420,000's",2016-11-29-13:22
CSS6700569,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1403132877-9224-34LuisaStEdmonton_0009.jpg,EDMONTON,"34 Luisa Street",4,1,2,"$310,000 Neg",2016-11-29-13:22
CSS6701395,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1403135964-30795-22BadillaSt_0008.jpg,EDMONTON,"22 Badilla Street",3,1,2,"$340,000's Open to Offers",2016-11-29-13:22
CSS6716042,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1403588277-29235-13BountyCl_0004.jpg,"BENTLEY PARK","13 Bounty Close",4,1,1,"$315,000 Neg",2016-11-29-13:22
CSS6729881,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1403853186-28345-1SheehyRd_0019.jpg,"WHITE ROCK","1 Sheehy Road",4,2,6,"High $300,000's",2016-11-29-13:22
CSS6731498,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1404082721-2388-DSCN09982.JPG,GORDONVALE,"1 Radford Close",4,2,2,"$350,000 Neg",2016-11-29-13:22
